month,temperature,precipitation,city,vraie city,country,Region,Category,Latitude,Longitude,Approximate Annual Tourists,Currency,Majority Religion,Famous Foods,Language,Best Time to Visit,Cost of Living,Safety,Cultural Significance,Description,daily_budget,travel_type,plage & détente,vie nocturne,nature,culture,ville,aventure,safety_score,safety_label,month_weather_score,spring_score,summer_score,autumn_score,winter_score,best_season,image_url,food_name_1,food_image_1,food_name_2,food_image_2,food_name_3,food_image_3,remote_work_score,internet_quality,coworking_score,monthly_remote_budget,digital_nomad_visa,tax_advantage_note,english_friendly,timezone_score,remote_work_summary,remote_housing_estimate,remote_living_estimate,coworking_monthly_estimate,visa_remote_info,visa_source_name,visa_source_url
7,28.3752688172043,0.1236559139784946,Corfu,ville,Greece,Ionian Islands,Island,39.613728,19.900073,1500000,Euro (EUR),Greek Orthodox,"Seafood, Greek salad, Moussaka",Greek,Été,Medium,Generally safe,"Known for beautiful beaches, olive groves, and Venetian architecture.",,85,Culture | City Break,2,3,2,4,4,2,4,Sûr,5,3,5,3,2,Été,https://images.unsplash.com/photo-1553773417-f089dabf62a6?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5NzQ5NDl8MHwxfHNlYXJjaHwxfHxDb3JmdXxlbnwwfDB8fHwxNzgxMTg1Mjg5fDA&ixlib=rb-4.1.0&q=80&w=1086,Seafood,https://live.staticflickr.com/2156/2310076764_2b19495418_b.jpg,Greek salad,https://live.staticflickr.com/7231/7206018248_06d9c21b18_b.jpg,Moussaka,https://live.staticflickr.com/6005/5958096924_fe282cce00_b.jpg,63.0,3.2,4.1,1460,Visa nomade a verifier,REURgime fiscal EUR EURtudier avec un expert avant dEURpart.,3.0,4.2,"Corfu combine un budget mensuel estime plus adapte au long sejour, une base urbaine pratique et un cadre viable pour travailler a distance.",610,580,190,"Cadre possible pour travailleurs a distance, conditions a verifier au consulat.",Consulat / autorites grecques,
8,27.33978494623656,1.2903225806451613,Corfu,ville,Greece,Ionian Islands,Island,39.613728,19.900073,1500000,Euro (EUR),Greek Orthodox,"Seafood, Greek salad, Moussaka",Greek,Été,Medium,Generally safe,"Known for beautiful beaches, olive groves, and Venetian architecture.",,85,Culture | City Break,2,3,2,4,4,2,4,Sûr,5,3,5,3,2,Été,https://images.unsplash.com/photo-1553773417-f089dabf62a6?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5NzQ5NDl8MHwxfHNlYXJjaHwxfHxDb3JmdXxlbnwwfDB8fHwxNzgxMTg1Mjg5fDA&ixlib=rb-4.1.0&q=80&w=1087,Seafood,https://live.staticflickr.com/2156/2310076764_2b19495418_b.jpg,Greek salad,https://live.staticflickr.com/7231/7206018248_06d9c21b18_b.jpg,Moussaka,https://live.staticflickr.com/6005/5958096924_fe282cce00_b.jpg,63.0,3.2,4.1,1460,Visa nomade a verifier,REURgime fiscal EUR EURtudier avec un expert avant dEURpart.,3.0,4.2,"Corfu combine un budget mensuel estime plus adapte au long sejour, une base urbaine pratique et un cadre viable pour travailler a distance.",610,580,190,"Cadre possible pour travailleurs a distance, conditions a verifier au consulat.",Consulat / autorites grecques,
9,23.467777777777776,2.3744444444444444,Corfu,ville,Greece,Ionian Islands,Island,39.613728,19.900073,1500000,Euro (EUR),Greek Orthodox,"Seafood, Greek salad, Moussaka",Greek,Été,Medium,Generally safe,"Known for beautiful beaches, olive groves, and Venetian architecture.",,85,Culture | City Break,2,3,2,4,4,2,4,Sûr,4,3,5,3,2,Été,https://images.unsplash.com/photo-1553773417-f089dabf62a6?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5NzQ5NDl8MHwxfHNlYXJjaHwxfHxDb3JmdXxlbnwwfDB8fHwxNzgxMTg1Mjg5fDA&ixlib=rb-4.1.0&q=80&w=1088,Seafood,https://live.staticflickr.com/2156/2310076764_2b19495418_b.jpg,Greek salad,https://live.staticflickr.com/7231/7206018248_06d9c21b18_b.jpg,Moussaka,https://live.staticflickr.com/6005/5958096924_fe282cce00_b.jpg,63.0,3.2,4.1,1460,Visa nomade a verifier,REURgime fiscal EUR EURtudier avec un expert avant dEURpart.,3.0,4.2,"Corfu combine un budget mensuel estime plus adapte au long sejour, une base urbaine pratique et un cadre viable pour travailler a distance.",610,580,190,"Cadre possible pour travailleurs a distance, conditions a verifier au consulat.",Consulat / autorites grecques,
10,19.58279569892473,4.4,Corfu,ville,Greece,Ionian Islands,Island,39.613728,19.900073,1500000,Euro (EUR),Greek Orthodox,"Seafood, Greek salad, Moussaka",Greek,Été,Medium,Generally safe,"Known for beautiful beaches, olive groves, and Venetian architecture.",,85,Culture | City Break,2,3,2,4,4,2,4,Sûr,3,3,5,3,2,Été,https://images.unsplash.com/photo-1553773417-f089dabf62a6?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5NzQ5NDl8MHwxfHNlYXJjaHwxfHxDb3JmdXxlbnwwfDB8fHwxNzgxMTg1Mjg5fDA&ixlib=rb-4.1.0&q=80&w=1089,Seafood,https://live.staticflickr.com/2156/2310076764_2b19495418_b.jpg,Greek salad,https://live.staticflickr.com/7231/7206018248_06d9c21b18_b.jpg,Moussaka,https://live.staticflickr.com/6005/5958096924_fe282cce00_b.jpg,63.0,3.2,4.1,1460,Visa nomade a verifier,REURgime fiscal EUR EURtudier avec un expert avant dEURpart.,3.0,4.2,"Corfu combine un budget mensuel estime plus adapte au long sejour, une base urbaine pratique et un cadre viable pour travailler a distance.",610,580,190,"Cadre possible pour travailleurs a distance, conditions a verifier au consulat.",Consulat / autorites grecques,
11,15.584444444444443,13.975555555555555,Corfu,ville,Greece,Ionian Islands,Island,39.613728,19.900073,1500000,Euro (EUR),Greek Orthodox,"Seafood, Greek salad, Moussaka",Greek,Été,Medium,Generally safe,"Known for beautiful beaches, olive groves, and Venetian architecture.",,85,Culture | City Break,2,3,2,4,4,2,4,Sûr,2,3,5,3,2,Été,https://images.unsplash.com/photo-1553773417-f089dabf62a6?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5NzQ5NDl8MHwxfHNlYXJjaHwxfHxDb3JmdXxlbnwwfDB8fHwxNzgxMTg1Mjg5fDA&ixlib=rb-4.1.0&q=80&w=1090,Seafood,https://live.staticflickr.com/2156/2310076764_2b19495418_b.jpg,Greek salad,https://live.staticflickr.com/7231/7206018248_06d9c21b18_b.jpg,Moussaka,https://live.staticflickr.com/6005/5958096924_fe282cce00_b.jpg,63.0,3.2,4.1,1460,Visa nomade a verifier,REURgime fiscal EUR EURtudier avec un expert avant dEURpart.,3.0,4.2,"Corfu combine un budget mensuel estime plus adapte au long sejour, une base urbaine pratique et un cadre viable pour travailler a distance.",610,580,190,"Cadre possible pour travailleurs a distance, conditions a verifier au consulat.",Consulat / autorites grecques,
12,12.370967741935484,4.97741935483871,Corfu,ville,Greece,Ionian Islands,Island,39.613728,19.900073,1500000,Euro (EUR),Greek Orthodox,"Seafood, Greek salad, Moussaka",Greek,Été,Medium,Generally safe,"Known for beautiful beaches, olive groves, and Venetian architecture.",,85,Culture | City Break,2,3,2,4,4,2,4,Sûr,2,3,5,3,2,Été,https://images.unsplash.com/photo-1553773417-f089dabf62a6?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5NzQ5NDl8MHwxfHNlYXJjaHwxfHxDb3JmdXxlbnwwfDB8fHwxNzgxMTg1Mjg5fDA&ixlib=rb-4.1.0&q=80&w=1091,Seafood,https://live.staticflickr.com/2156/2310076764_2b19495418_b.jpg,Greek salad,https://live.staticflickr.com/7231/7206018248_06d9c21b18_b.jpg,Moussaka,https://live.staticflickr.com/6005/5958096924_fe282cce00_b.jpg,63.0,3.2,4.1,1460,Visa nomade a verifier,REURgime fiscal EUR EURtudier avec un expert avant dEURpart.,3.0,4.2,"Corfu combine un budget mensuel estime plus adapte au long sejour, une base urbaine pratique et un cadre viable pour travailler a distance.",610,580,190,"Cadre possible pour travailleurs a distance, conditions a verifier au consulat.",Consulat / autorites grecques,
1,10.859139784946237,1.4311827956989247,Nafplio,ville,Greece,Peloponnese,City,37.571111,22.767778,500000,Euro (EUR),Greek Orthodox,"Seafood, Greek salad, Moussaka",Greek,Été,Medium,Generally safe,"Historic city known for Venetian fortress, charming streets, and beaches.",,85,Culture | City Break,2,3,2,4,4,2,4,Sûr,2,3,5,4,2,Été,https://images.unsplash.com/photo-1687901807868-7fa78c20193e?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5NzQ5NDl8MHwxfHNlYXJjaHwxfHxOYWZwbGlvfGVufDB8MHx8fDE3ODExODUyODl8MA&ixlib=rb-4.1.0&q=80&w=1080,Seafood,https://live.staticflickr.com/2156/2310076764_2b19495418_b.jpg,Greek salad,https://live.staticflickr.com/7231/7206018248_06d9c21b18_b.jpg,Moussaka,https://live.staticflickr.com/6005/5958096924_fe282cce00_b.jpg,63.0,3.2,4.1,1460,Visa nomade a verifier,REURgime fiscal EUR EURtudier avec un expert avant dEURpart.,3.0,4.2,"Nafplio combine un budget mensuel estime plus adapte au long sejour, une base urbaine pratique et un cadre viable pour travailler a distance.",610,580,190,"Cadre possible pour travailleurs a distance, conditions a verifier au consulat.",Consulat / autorites grecques,
2,10.111764705882353,1.1376470588235297,Nafplio,ville,Greece,Peloponnese,City,37.571111,22.767778,500000,Euro (EUR),Greek Orthodox,"Seafood, Greek salad, Moussaka",Greek,Été,Medium,Generally safe,"Historic city known for Venetian fortress, charming streets, and beaches.",,85,Culture | City Break,2,3,2,4,4,2,4,Sûr,2,3,5,4,2,Été,https://images.unsplash.com/photo-1687901807868-7fa78c20193e?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5NzQ5NDl8MHwxfHNlYXJjaHwxfHxOYWZwbGlvfGVufDB8MHx8fDE3ODExODUyODl8MA&ixlib=rb-4.1.0&q=80&w=1081,Seafood,https://live.staticflickr.com/2156/2310076764_2b19495418_b.jpg,Greek salad,https://live.staticflickr.com/7231/7206018248_06d9c21b18_b.jpg,Moussaka,https://live.staticflickr.com/6005/5958096924_fe282cce00_b.jpg,63.0,3.2,4.1,1460,Visa nomade a verifier,REURgime fiscal EUR EURtudier avec un expert avant dEURpart.,3.0,4.2,"Nafplio combine un budget mensuel estime plus adapte au long sejour, une base urbaine pratique et un cadre viable pour travailler a distance.",610,580,190,"Cadre possible pour travailleurs a distance, conditions a verifier au consulat.",Consulat / autorites grecques,
3,13.518279569892474,1.00752688172043,Nafplio,ville,Greece,Peloponnese,City,37.571111,22.767778,500000,Euro (EUR),Greek Orthodox,"Seafood, Greek salad, Moussaka",Greek,Été,Medium,Generally safe,"Historic city known for Venetian fortress, charming streets, and beaches.",,85,Culture | City Break,2,3,2,4,4,2,4,Sûr,3,3,5,4,2,Été,https://images.unsplash.com/photo-1687901807868-7fa78c20193e?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5NzQ5NDl8MHwxfHNlYXJjaHwxfHxOYWZwbGlvfGVufDB8MHx8fDE3ODExODUyODl8MA&ixlib=rb-4.1.0&q=80&w=1082,Seafood,https://live.staticflickr.com/2156/2310076764_2b19495418_b.jpg,Greek salad,https://live.staticflickr.com/7231/7206018248_06d9c21b18_b.jpg,Moussaka,https://live.staticflickr.com/6005/5958096924_fe282cce00_b.jpg,63.0,3.2,4.1,1460,Visa nomade a verifier,REURgime fiscal EUR EURtudier avec un expert avant dEURpart.,3.0,4.2,"Nafplio combine un budget mensuel estime plus adapte au long sejour, une base urbaine pratique et un cadre viable pour travailler a distance.",610,580,190,"Cadre possible pour travailleurs a distance, conditions a verifier au consulat.",Consulat / autorites grecques,
4,16.447777777777777,0.9477777777777776,Nafplio,ville,Greece,Peloponnese,City,37.571111,22.767778,500000,Euro (EUR),Greek Orthodox,"Seafood, Greek salad, Moussaka",Greek,Été,Medium,Generally safe,"Historic city known for Venetian fortress, charming streets, and beaches.",,85,Culture | City Break,2,3,2,4,4,2,4,Sûr,3,3,5,4,2,Été,https://images.unsplash.com/photo-1687901807868-7fa78c20193e?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5NzQ5NDl8MHwxfHNlYXJjaHwxfHxOYWZwbGlvfGVufDB8MHx8fDE3ODExODUyODl8MA&ixlib=rb-4.1.0&q=80&w=1083,Seafood,https://live.staticflickr.com/2156/2310076764_2b19495418_b.jpg,Greek salad,https://live.staticflickr.com/7231/7206018248_06d9c21b18_b.jpg,Moussaka,https://live.staticflickr.com/6005/5958096924_fe282cce00_b.jpg,63.0,3.2,4.1,1460,Visa nomade a verifier,REURgime fiscal EUR EURtudier avec un expert avant dEURpart.,3.0,4.2,"Nafplio combine un budget mensuel estime plus adapte au long sejour, une base urbaine pratique et un cadre viable pour travailler a distance.",610,580,190,"Cadre possible pour travailleurs a distance, conditions a verifier au consulat.",Consulat / autorites grecques,
5,19.8752688172043,1.1096774193548389,Nafplio,ville,Greece,Peloponnese,City,37.571111,22.767778,500000,Euro (EUR),Greek Orthodox,"Seafood, Greek salad, Moussaka",Greek,Été,Medium,Generally safe,"Historic city known for Venetian fortress, charming streets, and beaches.",,85,Culture | City Break,2,3,2,4,4,2,4,Sûr,4,3,5,4,2,Été,https://images.unsplash.com/photo-1687901807868-7fa78c20193e?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5NzQ5NDl8MHwxfHNlYXJjaHwxfHxOYWZwbGlvfGVufDB8MHx8fDE3ODExODUyODl8MA&ixlib=rb-4.1.0&q=80&w=1084,Seafood,https://live.staticflickr.com/2156/2310076764_2b19495418_b.jpg,Greek salad,https://live.staticflickr.com/7231/7206018248_06d9c21b18_b.jpg,Moussaka,https://live.staticflickr.com/6005/5958096924_fe282cce00_b.jpg,63.0,3.2,4.1,1460,Visa nomade a verifier,REURgime fiscal EUR EURtudier avec un expert avant dEURpart.,3.0,4.2,"Nafplio combine un budget mensuel estime plus adapte au long sejour, une base urbaine pratique et un cadre viable pour travailler a distance.",610,580,190,"Cadre possible pour travailleurs a distance, conditions a verifier au consulat.",Consulat / autorites grecques,
6,27.164444444444445,0.6244444444444445,Nafplio,ville,Greece,Peloponnese,City,37.571111,22.767778,500000,Euro (EUR),Greek Orthodox,"Seafood, Greek salad, Moussaka",Greek,Été,Medium,Generally safe,"Historic city known for Venetian fortress, charming streets, and beaches.",,85,Culture | City Break,2,3,2,4,4,2,4,Sûr,5,3,5,4,2,Été,https://images.unsplash.com/photo-1687901807868-7fa78c20193e?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5NzQ5NDl8MHwxfHNlYXJjaHwxfHxOYWZwbGlvfGVufDB8MHx8fDE3ODExODUyODl8MA&ixlib=rb-4.1.0&q=80&w=1085,Seafood,https://live.staticflickr.com/2156/2310076764_2b19495418_b.jpg,Greek salad,https://live.staticflickr.com/7231/7206018248_06d9c21b18_b.jpg,Moussaka,https://live.staticflickr.com/6005/5958096924_fe282cce00_b.jpg,63.0,3.2,4.1,1460,Visa nomade a verifier,REURgime fiscal EUR EURtudier avec un expert avant dEURpart.,3.0,4.2,"Nafplio combine un budget mensuel estime plus adapte au long sejour, une base urbaine pratique et un cadre viable pour travailler a distance.",610,580,190,"Cadre possible pour travailleurs a distance, conditions a verifier au consulat.",Consulat / autorites grecques,
7,30.796774193548387,0.0580645161290322,Nafplio,ville,Greece,Peloponnese,City,37.571111,22.767778,500000,Euro (EUR),Greek Orthodox,"Seafood, Greek salad, Moussaka",Greek,Été,Medium,Generally safe,"Historic city known for Venetian fortress, charming streets, and beaches.",,85,Culture | City Break,2,3,2,4,4,2,4,Sûr,4,3,5,4,2,Été,https://images.unsplash.com/photo-1687901807868-7fa78c20193e?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5NzQ5NDl8MHwxfHNlYXJjaHwxfHxOYWZwbGlvfGVufDB8MHx8fDE3ODExODUyODl8MA&ixlib=rb-4.1.0&q=80&w=1086,Seafood,https://live.staticflickr.com/2156/2310076764_2b19495418_b.jpg,Greek salad,https://live.staticflickr.com/7231/7206018248_06d9c21b18_b.jpg,Moussaka,https://live.staticflickr.com/6005/5958096924_fe282cce00_b.jpg,63.0,3.2,4.1,1460,Visa nomade a verifier,REURgime fiscal EUR EURtudier avec un expert avant dEURpart.,3.0,4.2,"Nafplio combine un budget mensuel estime plus adapte au long sejour, une base urbaine pratique et un cadre viable pour travailler a distance.",610,580,190,"Cadre possible pour travailleurs a distance, conditions a verifier au consulat.",Consulat / autorites grecques,
8,29.18172043010753,0.2150537634408602,Nafplio,ville,Greece,Peloponnese,City,37.571111,22.767778,500000,Euro (EUR),Greek Orthodox,"Seafood, Greek salad, Moussaka",Greek,Été,Medium,Generally safe,"Historic city known for Venetian fortress, charming streets, and beaches.",,85,Culture | City Break,2,3,2,4,4,2,4,Sûr,5,3,5,4,2,Été,https://images.unsplash.com/photo-1687901807868-7fa78c20193e?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5NzQ5NDl8MHwxfHNlYXJjaHwxfHxOYWZwbGlvfGVufDB8MHx8fDE3ODExODUyODl8MA&ixlib=rb-4.1.0&q=80&w=1087,Seafood,https://live.staticflickr.com/2156/2310076764_2b19495418_b.jpg,Greek salad,https://live.staticflickr.com/7231/7206018248_06d9c21b18_b.jpg,Moussaka,https://live.staticflickr.com/6005/5958096924_fe282cce00_b.jpg,63.0,3.2,4.1,1460,Visa nomade a verifier,REURgime fiscal EUR EURtudier avec un expert avant dEURpart.,3.0,4.2,"Nafplio combine un budget mensuel estime plus adapte au long sejour, une base urbaine pratique et un cadre viable pour travailler a distance.",610,580,190,"Cadre possible pour travailleurs a distance, conditions a verifier au consulat.",Consulat / autorites grecques,
9,24.61,1.5733333333333333,Nafplio,ville,Greece,Peloponnese,City,37.571111,22.767778,500000,Euro (EUR),Greek Orthodox,"Seafood, Greek salad, Moussaka",Greek,Été,Medium,Generally safe,"Historic city known for Venetian fortress, charming streets, and beaches.",,85,Culture | City Break,2,3,2,4,4,2,4,Sûr,5,3,5,4,2,Été,https://images.unsplash.com/photo-1687901807868-7fa78c20193e?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5NzQ5NDl8MHwxfHNlYXJjaHwxfHxOYWZwbGlvfGVufDB8MHx8fDE3ODExODUyODl8MA&ixlib=rb-4.1.0&q=80&w=1088,Seafood,https://live.staticflickr.com/2156/2310076764_2b19495418_b.jpg,Greek salad,https://live.staticflickr.com/7231/7206018248_06d9c21b18_b.jpg,Moussaka,https://live.staticflickr.com/6005/5958096924_fe282cce00_b.jpg,63.0,3.2,4.1,1460,Visa nomade a verifier,REURgime fiscal EUR EURtudier avec un expert avant dEURpart.,3.0,4.2,"Nafplio combine un budget mensuel estime plus adapte au long sejour, une base urbaine pratique et un cadre viable pour travailler a distance.",610,580,190,"Cadre possible pour travailleurs a distance, conditions a verifier au consulat.",Consulat / autorites grecques,
10,19.86881720430108,0.5870967741935484,Nafplio,ville,Greece,Peloponnese,City,37.571111,22.767778,500000,Euro (EUR),Greek Orthodox,"Seafood, Greek salad, Moussaka",Greek,Été,Medium,Generally safe,"Historic city known for Venetian fortress, charming streets, and beaches.",,85,Culture | City Break,2,3,2,4,4,2,4,Sûr,4,3,5,4,2,Été,https://images.unsplash.com/photo-1687901807868-7fa78c20193e?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5NzQ5NDl8MHwxfHNlYXJjaHwxfHxOYWZwbGlvfGVufDB8MHx8fDE3ODExODUyODl8MA&ixlib=rb-4.1.0&q=80&w=1089,Seafood,https://live.staticflickr.com/2156/2310076764_2b19495418_b.jpg,Greek salad,https://live.staticflickr.com/7231/7206018248_06d9c21b18_b.jpg,Moussaka,https://live.staticflickr.com/6005/5958096924_fe282cce00_b.jpg,63.0,3.2,4.1,1460,Visa nomade a verifier,REURgime fiscal EUR EURtudier avec un expert avant dEURpart.,3.0,4.2,"Nafplio combine un budget mensuel estime plus adapte au long sejour, une base urbaine pratique et un cadre viable pour travailler a distance.",610,580,190,"Cadre possible pour travailleurs a distance, conditions a verifier au consulat.",Consulat / autorites grecques,
11,16.17222222222222,0.8544444444444446,Nafplio,ville,Greece,Peloponnese,City,37.571111,22.767778,500000,Euro (EUR),Greek Orthodox,"Seafood, Greek salad, Moussaka",Greek,Été,Medium,Generally safe,"Historic city known for Venetian fortress, charming streets, and beaches.",,85,Culture | City Break,2,3,2,4,4,2,4,Sûr,3,3,5,4,2,Été,https://images.unsplash.com/photo-1687901807868-7fa78c20193e?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5NzQ5NDl8MHwxfHNlYXJjaHwxfHxOYWZwbGlvfGVufDB8MHx8fDE3ODExODUyODl8MA&ixlib=rb-4.1.0&q=80&w=1090,Seafood,https://live.staticflickr.com/2156/2310076764_2b19495418_b.jpg,Greek salad,https://live.staticflickr.com/7231/7206018248_06d9c21b18_b.jpg,Moussaka,https://live.staticflickr.com/6005/5958096924_fe282cce00_b.jpg,63.0,3.2,4.1,1460,Visa nomade a verifier,REURgime fiscal EUR EURtudier avec un expert avant dEURpart.,3.0,4.2,"Nafplio combine un budget mensuel estime plus adapte au long sejour, une base urbaine pratique et un cadre viable pour travailler a distance.",610,580,190,"Cadre possible pour travailleurs a distance, conditions a verifier au consulat.",Consulat / autorites grecques,
12,12.081720430107524,1.875268817204301,Nafplio,ville,Greece,Peloponnese,City,37.571111,22.767778,500000,Euro (EUR),Greek Orthodox,"Seafood, Greek salad, Moussaka",Greek,Été,Medium,Generally safe,"Historic city known for Venetian fortress, charming streets, and beaches.",,85,Culture | City Break,2,3,2,4,4,2,4,Sûr,3,3,5,4,2,Été,https://images.unsplash.com/photo-1687901807868-7fa78c20193e?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5NzQ5NDl8MHwxfHNlYXJjaHwxfHxOYWZwbGlvfGVufDB8MHx8fDE3ODExODUyODl8MA&ixlib=rb-4.1.0&q=80&w=1091,Seafood,https://live.staticflickr.com/2156/2310076764_2b19495418_b.jpg,Greek salad,https://live.staticflickr.com/7231/7206018248_06d9c21b18_b.jpg,Moussaka,https://live.staticflickr.com/6005/5958096924_fe282cce00_b.jpg,63.0,3.2,4.1,1460,Visa nomade a verifier,REURgime fiscal EUR EURtudier avec un expert avant dEURpart.,3.0,4.2,"Nafplio combine un budget mensuel estime plus adapte au long sejour, une base urbaine pratique et un cadre viable pour travailler a distance.",610,580,190,"Cadre possible pour travailleurs a distance, conditions a verifier au consulat.",Consulat / autorites grecques,
1,12.56989247311828,3.635483870967742,Lisbon,ville,Portugal,Lisbon,City,38.710825,-9.136136,3500000,Euro (EUR),Roman Catholic,"Bacalhau, Pastel de nata, Sardinha",Portuguese,Été,Medium-high,"Generally safe, but watch out for pickpockets","Capital city known for its historic center, Seven Hills, and vibrant nightlife.",,90,Vie nocturne | Culture | City Break,2,5,2,5,5,2,4,Sûr,2,3,5,3,2,Été,https://images.unsplash.com/photo-1585208798174-6cedd86e019a?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5NzQ5NDl8MHwxfHNlYXJjaHwxfHxMaXNib258ZW58MHwwfHx8MTc4MTE4NTI5MHww&ixlib=rb-4.1.0&q=80&w=1080,Bacalhau,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Klippfisk.jpg/960px-Klippfisk.jpg,Pastel de nata,https://upload.wikimedia.org/wikipedia/commons/9/9c/Pastel_de_nata_septembre_2015.jpg,Sardinha,https://live.staticflickr.com/5187/5661736474_a6f36c5778.jpg,71.0,4.5,5.0,1540,Visa sejour remote a verifier,REURgime fiscal EUR EURtudier avec un expert avant dEURpart.,3.4,4.2,"Lisbon ressort comme un hub interessant pour les teletravailleurs : coworking, services urbains et vie locale y sont particulierement solides.",650,610,200,"Option de sejour pour revenus ou activite a distance, conditions a verifier au consulat.",Consulat / autorites portugaises,
2,12.692941176470589,2.4023529411764706,Lisbon,ville,Portugal,Lisbon,City,38.710825,-9.136136,3500000,Euro (EUR),Roman Catholic,"Bacalhau, Pastel de nata, Sardinha",Portuguese,Été,Medium-high,"Generally safe, but watch out for pickpockets","Capital city known for its historic center, Seven Hills, and vibrant nightlife.",,90,Vie nocturne | Culture | City Break,2,5,2,5,5,2,4,Sûr,2,3,5,3,2,Été,https://images.unsplash.com/photo-1585208798174-6cedd86e019a?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5NzQ5NDl8MHwxfHNlYXJjaHwxfHxMaXNib258ZW58MHwwfHx8MTc4MTE4NTI5MHww&ixlib=rb-4.1.0&q=80&w=1081,Bacalhau,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Klippfisk.jpg/960px-Klippfisk.jpg,Pastel de nata,https://upload.wikimedia.org/wikipedia/commons/9/9c/Pastel_de_nata_septembre_2015.jpg,Sardinha,https://live.staticflickr.com/5187/5661736474_a6f36c5778.jpg,71.0,4.5,5.0,1540,Visa sejour remote a verifier,REURgime fiscal EUR EURtudier avec un expert avant dEURpart.,3.4,4.2,"Lisbon ressort comme un hub interessant pour les teletravailleurs : coworking, services urbains et vie locale y sont particulierement solides.",650,610,200,"Option de sejour pour revenus ou activite a distance, conditions a verifier au consulat.",Consulat / autorites portugaises,
3,13.594623655913978,3.177419354838709,Lisbon,ville,Portugal,Lisbon,City,38.710825,-9.136136,3500000,Euro (EUR),Roman Catholic,"Bacalhau, Pastel de nata, Sardinha",Portuguese,Été,Medium-high,"Generally safe, but watch out for pickpockets","Capital city known for its historic center, Seven Hills, and vibrant nightlife.",,90,Vie nocturne | Culture | City Break,2,5,2,5,5,2,4,Sûr,2,3,5,3,2,Été,https://images.unsplash.com/photo-1585208798174-6cedd86e019a?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5NzQ5NDl8MHwxfHNlYXJjaHwxfHxMaXNib258ZW58MHwwfHx8MTc4MTE4NTI5MHww&ixlib=rb-4.1.0&q=80&w=1082,Bacalhau,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Klippfisk.jpg/960px-Klippfisk.jpg,Pastel de nata,https://upload.wikimedia.org/wikipedia/commons/9/9c/Pastel_de_nata_septembre_2015.jpg,Sardinha,https://live.staticflickr.com/5187/5661736474_a6f36c5778.jpg,71.0,4.5,5.0,1540,Visa sejour remote a verifier,REURgime fiscal EUR EURtudier avec un expert avant dEURpart.,3.4,4.2,"Lisbon ressort comme un hub interessant pour les teletravailleurs : coworking, services urbains et vie locale y sont particulierement solides.",650,610,200,"Option de sejour pour revenus ou activite a distance, conditions a verifier au consulat.",Consulat / autorites portugaises,
